composition
Li3 P0.8 V0.2 O4
La0.313 Li0.06 Nb1 O3
Li1.5 Y0.5 Ti1.5 P3 O12
Li5 P1 S4 B2 H8
Li3 P5 O14
Li100 O296 Al4 P96
Li18 S9 La1 O1 I1
Li6 Fe1 Cl8
Li3.8 Ge0.8 P0.2 S4
Li6.25 P1 S5.25 Cl0.75
La0.5 Li0.375 Na0.125 Ti1 O3
Li1.1 Y0.1 Hf1.9 P3 O12
Li1 Al1 Si1 O4
Li0.6 S2.96 P0.56 Sb0.84
Li10 Ge1 P2 S12
Li6.55 La3 Zr2 Ga0.9 O12
Li1.8 Sc0.8 Ti1.2 P3 O12
Li9.42 Si1.02 P2.1 S9.96 O2.04
Li5 Al1 S4
Li0.5 Sr0.5 Fe0.25 Ta0.75 O3
Li0.96 Ga0.96 Si2.04 O6
Li3.4 Ge0.4 V0.6 O4
Li0.1 Na0.1 La0.6 Ti1 O3
Li6 Ni1 Br3
Li0.5 Cl0.5 P1 O2.5
Li2 N1 H1
Li0.8 S1.66 Ga0.12 Ge0.54
Li1.4 Al0.4 Ge1.072 Ti0.528 P3 O12
Li2 Mg1 Zr1 O4
Li1 S1.55 Ga0.1 Ge0.45
Li6 Si1 O4 Cl2
Li0.06 La0.66 Ti0.93 Al0.06 O3
Li4 P2 S6
Li120 O200 F20 P60
Li2 Ge7 O15
Li4 Nd3 Te1 Sb1 O12
Li3 O1 Cl1
Li6 Sr0.5 Ba0.5 La2 Ta2 O12
Li3 Al0.4 Sc1.6 P3 O12
Li1.7 Al0.7 Ti1.3 P3 O12
Y0.5 P1 O4 Li1.5
Li6.8 La3 Zr1.8 Sb0.2 O12
Li2 Mg2 Mo3 O12
Li5 La3 Sb2 O12
Li9 Si1 Al1 O8
Li1 Ca1.65 Ti1.3 Ta1.7 O9
Li0.6 Zr1.6 Nb0.4 P3 O12
Li14 Zn1 Ge4 O16
Li1 Al1 H4
Li2 Fe1 Ti1 P3 O12
Li0.8 S2.68 P0.48 Sb0.72
Li1 I1
Li5.5 La3 Nb1.75 In0.25 O12
Li0.95 Mg0.95 In0.05 P1 O4
Li3.6 Ge0.6 P0.4 O4
Nd0.25 Li0.25 Ta1 O3
Li3 V0.6 P0.4 O4
Li3 Cr2 P3 O12
Li4.2 Ge0.8 Ga0.2 S4
Li2 O1 H1 Br1
Li1.45 Al0.45 Ti1.55 P1 O4
Li14 S7 La3 O3 I3
Y0.8 P1 O4 Li0.6
Li2 Ti0.75 Ta0.25 O3.125
Li6 La3 Zr1 Sb1 O12
Li4 B1 N3 H10
Y0.9 P1 O4 Li0.3
Li0.022 La0.115 Ti0.165 Al0.055 O0.618
Li2.1 O1 H0.9 Cl1
Li3 P1
Li1 P0.65 I0.35 O1.95
Li100 O175 Se25 B50
Li0.2 Zr1.2 Nb0.8 P3 O12
Li4 S2 La5 O5 I5
Li3 Cr1 Mo3 O12
Li1 S2.4 P0.4 Sb0.6
Li2.8 In1.8 Ti0.2 P3 O12
Li3 N1
La0.56 Li0.36 Ti0.95 Al0.05 O3
Li133 S135 P34 B33 H132
Li1.5 Mg2.5 V0.5 Mo2.5 O12
Li1 Ta2 P1 O8
Li1 Sn2 P3 O12
Li1 Fe1 P1 O4
Li4 Ge1 O4
Li3 Nd3 Te2 O12
Li1.8 Al0.8 Ge0.8 Ti0.4 P3 O12
Li5 N1 I2
Li1 Fe1 Sb1 P3 O12
Li2 S1 La1 O1 I1
Li2 Ca1 N2 H2
Li6 Mg1 La2 Ta2 O12
Li1.05 Al0.05 Ti1.95 P1 O4
Li7 La3 Sn2 O12
Li3 V1 O4
Li7 Ge3 P1 S12
Li2 Zr1 S3
Li2.5 Cr1.5 Hf0.5 P3 O12
Li0.3 La0.66 Ti0.7 Al0.3 O3
Li0.6 S1.77 Ga0.14 Ge0.63
Li2.4 O1 H0.6 Cl1
Li4 B7 O12 Cl1
Li2.7 O1 H0.3 Cl1
Li1.5 S2 P0.5
